produccion_toneladas,año,id_municipio,subregion
3920.0,2006,76497,Norte
100.0,2006,76563,Sur
2550.0,2006,76520,Sur
550.0,2006,76400,Norte
1680.0,2006,76403,Norte
4345.0,2006,76233,Sur
1200.0,2006,76126,Centro
2880.0,2006,76243,Norte
100.0,2006,76130,Sur
1827.0,2006,76147,Norte
1480.0,2006,76250,Norte
286.0,2006,76275,Sur
6364.0,2006,76246,Norte
200.0,2006,76248,Sur
188.0,2005,76892,Sur
140.0,2005,76895,Norte
5348.0,2005,76890,Centro
2412.0,2005,76863,Norte
1064.0,2005,76869,Sur
985.0,2005,76845,Norte
9800.0,2005,76616,Centro
840.0,2005,76622,Norte
100.0,2005,76563,Sur
3090.0,2005,76606,Centro
5130.0,2005,76828,Centro
4000.0,2005,76834,Centro
14560.0,2005,76736,Centro
1647.0,2005,76670,Centro
1960.0,2005,76823,Norte
6155.0,2005,76520,Sur
1243.0,2005,76001,Sur
2745.0,2005,76020,Norte
21084.0,2005,76054,Norte
1523.0,2005,76109,Pacifico
3250.0,2005,76100,Norte
428.0,2005,76036,Centro
3719.0,2005,76041,Norte
875.0,2005,76318,Centro
1001.0,2005,76364,Sur
3053.0,2005,76275,Sur
1105.0,2005,76306,Sur
1680.0,2005,76403,Norte
3912.0,2005,76497,Norte
1785.0,2005,76377,Sur
673.0,2005,76400,Norte
1615.0,2005,76250,Norte
74.0,2005,76130,Sur
10421.0,2005,76122,Centro
1827.0,2005,76147,Norte
5184.0,2005,76111,Centro
2624.0,2005,76113,Centro
6364.0,2005,76246,Norte
200.0,2005,76248,Sur
2800.0,2005,76243,Norte
5000.0,2005,76233,Sur
1200.0,2005,76126,Centro
131.0,2004,76895,Norte
184.0,2004,76892,Sur
10951.0,2004,76736,Centro
2199.0,2004,76823,Norte
875.0,2004,76622,Norte
1647.0,2004,76670,Centro
665.0,2004,76869,Sur
2412.0,2004,76863,Norte
5207.0,2004,76890,Centro
4266.0,2004,76828,Centro
972.0,2004,76845,Norte
3856.0,2004,76834,Centro
838.0,2004,76020,Norte
3662.0,2004,76041,Norte
248.0,2004,76036,Centro
1043.0,2004,76001,Sur
4994.0,2004,76111,Centro
862.0,2004,76109,Pacifico
3240.0,2004,76113,Centro
7554.0,2004,76054,Norte
3522.0,2004,76100,Norte
673.0,2004,76400,Norte
1750.0,2004,76377,Sur
1669.0,2004,76403,Norte
2639.0,2004,76318,Centro
505.0,2004,76364,Sur
2879.0,2004,76606,Centro
134.0,2004,76563,Sur
9081.0,2004,76616,Centro
4632.0,2004,76497,Norte
6155.0,2004,76520,Sur
8390.0,2004,76233,Sur
2106.0,2004,76243,Norte
2111.0,2004,76126,Centro
74.0,2004,76130,Sur
16016.0,2004,76122,Centro
1883.0,2004,76147,Norte
3135.0,2004,76275,Sur
1043.0,2004,76306,Sur
6166.0,2004,76246,Norte
1766.0,2004,76250,Norte
875.0,2004,76248,Sur
220.0,2003,76895,Norte
4646.0,2003,76890,Centro
184.0,2003,76892,Sur
645.0,2003,76869,Sur
1243.0,2003,76622,Norte
1634.0,2003,76670,Centro
9450.0,2003,76736,Centro
3439.0,2003,76606,Centro
9081.0,2003,76616,Centro
657.0,2003,76845,Norte
4121.0,2003,76834,Centro
2478.0,2003,76863,Norte
2135.0,2003,76823,Norte
4149.0,2003,76828,Centro
2442.0,2003,76020,Norte
473.0,2003,76036,Centro
1440.0,2003,76001,Sur
2093.0,2003,76109,Pacifico
3835.0,2003,76100,Norte
4444.0,2003,76111,Centro
4736.0,2003,76041,Norte
4518.0,2003,76054,Norte
350.0,2003,76364,Sur
1946.0,2003,76377,Sur
2553.0,2003,76275,Sur
1043.0,2003,76306,Sur
7112.0,2003,76318,Centro
3839.0,2003,76497,Norte
6156.0,2003,76520,Sur
130.0,2003,76563,Sur
653.0,2003,76400,Norte
1755.0,2003,76403,Norte
1626.0,2003,76147,Norte
4602.0,2003,76233,Sur
72.0,2003,76130,Sur
3247.0,2003,76113,Centro
15850.0,2003,76122,Centro
1194.0,2003,76248,Sur
1950.0,2003,76250,Norte
2049.0,2003,76126,Centro
5831.0,2003,76246,Norte
2604.0,2003,76243,Norte
190.0,2002,76895,Norte
4617.0,2002,76890,Centro
176.0,2002,76892,Sur
600.0,2002,76869,Sur
723.0,2002,76622,Norte
1409.0,2002,76670,Centro
8820.0,2002,76736,Centro
2856.0,2002,76606,Centro
8667.0,2002,76616,Centro
357.0,2002,76845,Norte
3926.0,2002,76834,Centro
2408.0,2002,76863,Norte
1890.0,2002,76823,Norte
4149.0,2002,76828,Centro
2415.0,2002,76020,Norte
465.0,2002,76036,Centro
1650.0,2002,76001,Sur
1522.0,2002,76109,Pacifico
3549.0,2002,76100,Norte
4345.0,2002,76111,Centro
5310.0,2002,76041,Norte
3573.0,2002,76054,Norte
311.0,2002,76364,Sur
1918.0,2002,76377,Sur
1043.0,2002,76306,Sur
7048.0,2002,76318,Centro
2160.0,2002,76520,Sur
130.0,2002,76563,Sur
3619.0,2002,76497,Norte
590.0,2002,76400,Norte
1584.0,2002,76403,Norte
2424.0,2002,76275,Sur
1626.0,2002,76147,Norte
5310.0,2002,76233,Sur
2927.0,2002,76113,Centro
54.0,2002,76130,Sur
15448.0,2002,76122,Centro
1182.0,2002,76248,Sur
1853.0,2002,76250,Norte
2049.0,2002,76126,Centro
2683.0,2002,76243,Norte
6090.0,2002,76246,Norte
160.0,2001,76892,Sur
175.0,2001,76895,Norte
5544.0,2001,76736,Centro
1610.0,2001,76823,Norte
580.0,2001,76622,Norte
1508.0,2001,76670,Centro
350.0,2001,76869,Sur
2450.0,2001,76863,Norte
4524.0,2001,76890,Centro
4131.0,2001,76828,Centro
254.0,2001,76845,Norte
3960.0,2001,76834,Centro
525.0,2001,76036,Centro
5022.0,2001,76041,Norte
1550.0,2001,76001,Sur
2907.0,2001,76020,Norte
4092.0,2001,76111,Centro
2552.0,2001,76113,Centro
2925.0,2001,76054,Norte
1522.0,2001,76109,Pacifico
3640.0,2001,76100,Norte
10822.0,2001,76122,Centro
1827.0,2001,76377,Sur
781.0,2001,76400,Norte
1584.0,2001,76403,Norte
6648.0,2001,76318,Centro
311.0,2001,76364,Sur
3036.0,2001,76606,Centro
130.0,2001,76563,Sur
7722.0,2001,76616,Centro
3729.0,2001,76497,Norte
2496.0,2001,76520,Sur
1929.0,2001,76126,Centro
5310.0,2001,76233,Sur
2720.0,2001,76243,Norte
113.0,2001,76130,Sur
1626.0,2001,76147,Norte
1744.0,2001,76275,Sur
763.0,2001,76306,Sur
6090.0,2001,76246,Norte
1853.0,2001,76250,Norte
1254.0,2001,76248,Sur
280.0,2000,76892,Sur
180.0,2000,76895,Norte
5544.0,2000,76736,Centro
1890.0,2000,76823,Norte
853.0,2000,76622,Norte
1170.0,2000,76670,Centro
